"OTU","Sample","Abundance","Category","Treatment","Kingdom","Phylum"
"5515","MD2065",82.9969492752374,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2065",9.78300211999517,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2065",7.17351212533825,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2065",0.0465364794291525,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2066",83.303776862285,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2066",9.53900999463436,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2066",7.11446993879537,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2066",0.0427432042852336,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2075",84.5075504476814,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2075",8.96699184818923,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2075",6.44794868368301,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2075",0.077509020446345,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2076",84.672072040382,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2076",8.8142181261762,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2076",6.45215188982887,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2076",0.0615579436129237,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2085",88.6062570462232,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2085",6.52782251570301,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2085",4.83974875181189,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2085",0.0261716862618779,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2086",90.4092219020173,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2086",5.45014409221902,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2086",3.89164265129683,"cropWilted","Wilted","Eukaryota","Basidiomycota"
"6035","MD2086",0.248991354466859,"cropWilted","Wilted","Eukaryota","Microsporidia"
"5515","MD2095",81.7626178138643,"cropWilted","Wilted","Eukaryota","Ascomycota"
"4785","MD2095",10.5291933575421,"cropWilted","Wilted","Eukaryota","Oomycota"
"84751","MD2095",7.66085927618426,"cropWilted","Wilted","Eukaryota","Basidiomycota"
