	5QBDM2ESPNATXXX0494	5QBDM2ESPPOOBXX0490	BR5r-M2-ESP-POO-B-XX-1621	BR5rM2ESPNATXXX1625	MvvQ-M2-ESP-POO-A-XX-1616	MvvQM2ESPNATXXX1620	TZEpM2ESPNATXXX0504	TZEpM2ESPPOOAXX0500
Streptomyces.sp..CFMR.7	5468	2544	9203	4579	4403	3525	1431	2673
Streptomyces.sp..M56	7325	2450	9204	4203	4340	3308	1357	2317
Streptomyces.sp..WAC00303	4592	1951	7346	3483	3546	2583	1080	1914
Streptomyces.sp..CRSS.Y.16	11544	4001	12212	5881	5743	5116	2638	3589
Streptomyces.sp..PAMC.26508	7773	2624	8365	4425	3713	3460	1878	2690
Streptomyces.sp..M2	9995	3934	12597	5892	6102	5372	2582	3655
Streptomyces.sp..CB04723	4509	1973	7208	3703	3367	2633	1089	1839
Streptomyces.sp..endophyte_N2	5682	2364	7338	3878	3376	2787	1236	1777
Streptomyces.sp..HU2014	6411	2504	9118	4389	4540	3491	1471	2234
Streptomyces.sp..Tu6071	5574	2808	9485	5369	5520	4443	2573	3172
Streptomyces.sp..CLI2509	5610	3398	11425	6068	5624	4897	2881	3336
Streptomyces.sp..S501	5241	2219	6846	3716	3252	3164	1635	2129
Streptomyces.sp..R527F	7044	2064	7536	4066	4203	2712	1252	2226
Streptomyces.sp..WA1.19	6067	2792	9957	4562	4431	3704	1612	2597
Streptomyces.sp..LBUM.1480	10525	4534	11578	6333	6131	4116	1782	3280
Streptomyces.sp..604F	7445	2055	6693	3055	3697	2399	1392	1773
Streptomyces.sp..A1.5	3805	1894	7335	3531	3567	2594	1014	1828
Streptomyces.sp..GF20	4078	2002	6683	3378	4668	2782	1179	1847
Streptomyces.sp..FR.008	5493	1868	6601	3346	3111	2701	1082	1714
Streptomyces.sp..CA.256286	4383	1781	6542	3062	2774	2602	1052	1617
Streptomyces.sp..S1A1.7	5921	3520	9997	4512	4572	4302	2144	3332
Streptomyces.sp..CC0208	15723	5216	17289	8540	8780	10098	4806	4100
Streptomyces.sp..OUCMDZ.3434	5720	1647	6824	3238	2886	2269	0	1617
Streptomyces.sp..RLB3.17	8385	3267	12777	5479	5483	5281	0	3460
Streptomyces.sp..NBU3104	3541	1848	6213	2681	4272	2512	1139	1615
Streptomyces.sp..LBUM.1482	12736	4961	14769	6286	10332	4585	0	4067
Streptomyces.sp..RLB1.9	23971	0	19173	8841	8941	8541	0	0
Streptomyces.sp..RLB3.6	12420	5567	17203	8202	13895	7702	0	4987
Streptomyces.sp..LBUM.1475	11908	5949	21013	7938	14436	7961	0	5851
Streptomyces.sp..GBA.94.10	4901	1968	6241	3216	3616	2976	0	2011
Streptomyces.sp..PVA_94.07	5517	0	7247	3522	5172	3123	0	1914
Streptomyces.sp..PLM4	2916	1495	5415	2654	2239	1918	0	1496
Streptomyces.sp..S1D4.14	19677	0	18572	13190	10945	0	0	0
Streptomyces.sp..S1D4.20	8030	5569	17295	7968	12283	8355	0	5017
Streptomyces.sp..S1D4.23	13659	0	13741	7487	8005	0	0	0
Streptomyces.sp..A10.2020.	2708	1543	4998	2854	2377	2125	0	1630
Streptomyces.sp..HNM0561	24657	0	0	0	0	0	0	0
Streptomyces.calvus	460405	8263	23313	15905	21285	9319	3415	7301
Streptomyces.viridosporus	234979	6914	21371	13437	10681	9853	3328	6650
Streptomyces.qaidamensis	70966	10910	28546	35703	12420	12261	4778	8870
Streptomyces.cadmiisoli	26476	7319	24996	12257	12152	10060	3905	6411
Streptomyces.aurantiacus	18325	6442	21451	10071	10494	7923	3187	5620
Streptomyces.alboniger	9643	4657	14962	7486	6780	5825	2491	3850
Streptomyces.koyangensis	11150	4840	16774	8538	9215	6739	2828	4367
Streptomyces.pactum	106321	5383	18814	9735	9036	7112	2811	5042
Streptomyces.tendae	104682	6538	19657	12132	10219	10446	3317	5941
Streptomyces.ambofaciens	106708	7034	23896	12569	11832	9519	3823	6591
Streptomyces.venezuelae	88146	40492	134883	69246	67052	52387	22525	36149
Streptomyces.prasinus	78836	5666	18339	10586	9009	7589	2988	5307
